year,spring1,spring1.sd,y_mean_temp,y_mean_temp.sd
1719,7.6,5.95035012975427,10.1833333333333,7.32962027211051
1720,7.125,6.17811999451829,9.725,6.73067941998023
1721,5.775,6.78644482283127,8.91666666666667,6.72077286320464
1728,7.025,6.98396974029336,8.61666666666667,6.79837324570215
1729,1.1,3.81182371050918,-0.225,4.087684756273
1730,6.775,5.45244593431853,8.64166666666667,6.24855740927213
1731,4.675,5.51807635563941,7.74166666666667,6.72761721067224
1732,7.625,5.02817064149577,7.9,6.7306625366169
1733,7.4,3.72111094522411,8.75833333333333,4.77901822046277
1734,7.75,3.79956137819442,8.39166666666667,6.16285918493465
1735,7.25,4.87818272173836,8.63333333333333,6.04864121981628
1736,5.875,5.80997705101607,8.35833333333333,6.51940576395974
1737,6.875,5.29740502510427,8.54166666666667,6.06576958069301
1738,7.4,5.2236641035452,8.64166666666667,6.46479393376623
1739,7.075,4.81135808963194,7.91666666666667,7.20692007515672
1740,1.15,6.8869441699494,5.35833333333333,8.78205384275055
1741,5.725,3.85864829527992,8.325,6.21173742347355
1742,5.175,4.17482534564821,7.31666666666667,6.6098869930284
1743,6,5.31099488482776,8.73333333333333,6.17963419531276
1744,6.35,7.17286553617172,8.56666666666667,7.2635244804976
1745,6.275,6.46600082482725,8.55833333333333,7.54097393436603
1746,5.775,6.15379286835905,8.475,6.86309299474701
1747,6.825,5.03214665923004,9.24166666666667,6.81608503112418
1748,5.675,7.62949321165349,9.28333333333333,7.82767042244525
1749,6.525,6.62589616580278,9.2,6.860029154457
1750,9.125,3.65,9.95833333333333,6.69972297030167
1751,7.6,7.83453891432036,11.12,8.28235071301218
1755,-6,,3,11.7901088488049
1756,9.55,4.41097117046424,11.7166666666667,7.32205054902138
1757,10.4142857142857,3.50163227244503,11.8578947368421,7.82618935153513
1758,8.25,5.6198627334533,9.79583333333333,7.10287628002032
1759,8.675,3.63229561414974,10.525,7.08416789627467
1760,7.9125,5.87645118855152,10.7125,6.93361769553428
1761,9.85,4.63834946012973,10.9333333333333,7.46625257650931
1762,8.425,6.32427296781445,10.025,7.04021059467622
1763,8.25,3.8071361565205,10.1125,7.05082865928599
1764,9.075,5.04005385458755,10.3666666666667,6.22118866502191
1765,7.3125,5.97553046061304,10.025,6.67254270027225
1766,9.075,5.98301166398901,10.3916666666667,7.20826317298519
1767,8.5,3.22357388180085,9.9375,7.40192762790178
1768,7.625,5.36649659594467,9.825,7.17454740278316
1769,7.3125,4.99269108654985,9.1875,6.42882858353851
1770,6.1375,5.73160099797605,9.30416666666667,6.9471595175524
1771,5.375,7.36453858510013,8.5125,7.44634795225733
1772,7.05,3.53149098419189,9.975,6.38069438772656
1773,7.45,6.14096316317144,10.1791666666667,6.47080259565103
1774,8.5375,4.85708245760765,9.20833333333333,7.45041094090828
1775,8.2625,3.40710916425389,10.4625,7.25820749820205
1776,7.6875,3.43945074518758,8.95833333333333,7.89809645017278
1777,6.125,6.04737251091036,8.95833333333333,7.21796771750986
1778,8.05,6.4111509998484,10.1333333333333,7.38521829571492
1779,9.6875,4.5908099192066,11.1375,6.91537747720064
1780,7.575,6.03057684992548,9.57916666666667,7.75247389220211
1781,8.13083333333333,5.77743173254712,9.62222222222222,7.52980330272828
1782,4.26666666666667,6.25671760202705,7.58972222222222,7.8363265760399
1783,6.80333333333333,5.29715074928079,9.00527777777778,7.30890161226554
1784,4.59333333333333,7.02779460212782,7.135,8.40510610114046
1785,2.28666666666667,6.9989847748647,6.94527777777778,7.68043952838679
1786,3.955,5.52811651670098,5.87148148148148,6.70251428352061
1787,5.0875,3.9610379231423,7.89166666666667,6.73620436710187
1788,6.4575,5.83387462856532,7.76,8.93781500943363
1789,6.00416666666667,7.32915778161985,8.21694444444444,7.56382398353956
1790,7.09166666666667,5.36499230421092,8.75916666666667,6.52422841633947
1791,6.83916666666667,5.23468755398818,8.65714285714286,6.81367076132223
1792,6.608125,5.58573089070118,8.80595744680851,7.35516164796635
1793,6.73125,4.18612290789461,9.24468085106383,7.24970189823837
1794,9.515625,4.24308216394639,9.853125,7.35701204272553
1795,7.22,5.89023938392999,9.24520833333333,8.28129807626885
1796,6.015625,5.59889866402313,9.02479166666667,7.31992762130922
1797,7.58375,6.02719600367092,9.82416666666667,7.18880566925791
1798,7.6275,5.77370187430329,9.08583333333333,7.87475898539214
1799,5.23125,5.07513136118991,7.24791666666667,8.03577081484113
1800,7.219375,8.30493144161949,9.10104166666667,7.67376193897747
