"AccName","GbifKey","OrigName","species","bioflor_id","LifeForm","LifeSpan","FlStart","FlEnd","FlDur","ReprType","Dicliny","Dichogamy","SelfComp","PollVec","PollVecGrp","BreedSys","FlowClass","Habitat","PollDep"
"Diplotaxis tenuifolia (L.) DC.",5376426,"Diplotaxis tenuifolia (L.) DC.","Diplotaxis tenuifolia",1003,"C","p",5,10,6,"s","so","h","SI","se, in","se, zo","X","AB","T10, T7, T8","Intermediate"
"Diplotaxis viminea DC.",5376357,"Diplotaxis viminea (L.) DC.","Diplotaxis viminea",1004,"T","a",6,9,4,"s","so","h","SC","se","se","AO","AB","T9","No"
"Dipsacus laciniatus L.",2888814,"Dipsacus laciniatus L.","Dipsacus laciniatus",1006,"H","b, h",7,8,2,"s","so","a2","SC","in","zo","XF","B","T10, T8","Intermediate"
"Dipsacus sativus (L.) Honckeny",2888816,"Dipsacus sativus (L.) Honck.","Dipsacus sativus",1007,"H","b, h",7,8,2,"s","so",NA,"SC","in","zo","AFXF","B",NA,NA
"Doronicum austriacum Jacq.",7389416,"Doronicum austriacum Jacq.","Doronicum austriacum",1008,"H","p",7,8,2,"sv","gm","a2",NA,"in","zo",NA,"B","T3",NA
"Doronicum columnae Ten.",3143034,"Doronicum columnae Ten.","Doronicum columnae",1009,"H","p",5,8,4,"sv","gm","a2",NA,"in","zo",NA,"B","T3",NA
"Doronicum glaciale (Wulfen) Nyman",3142953,"Doronicum glaciale (Wulfen) Nyman","Doronicum glaciale",1010,"H","p",7,8,2,"sv","gm","a2",NA,"in","zo",NA,"B","T3",NA
"Doronicum grandiflorum Lam.",3142996,"Doronicum grandiflorum Lam.","Doronicum grandiflorum",1011,"H","p",7,8,2,"sv","gm","a2",NA,"in","zo",NA,"B","T5",NA
"Doronicum pardalianches L.",3142951,"Doronicum pardalianches L.","Doronicum pardalianches",1012,"G","p",5,6,2,"sv","gm","a2",NA,"in","zo",NA,"B","T1",NA
"Dorycnium pentaphyllum Scop.",2959128,"Dorycnium germanicum (Gremli) Rikli","Dorycnium pentaphyllum",1013,"S","p",7,7,1,"s","so","h",NA,"in","zo",NA,"H","T1",NA
"Dorycnium hirsutum Ser.",2959124,"Dorycnium hirsutum (L.) Ser.","Dorycnium hirsutum",1015,"S","p",5,7,3,"s","so","h",NA,"in","zo",NA,"H","T2",NA
"Draba aizoides L.",3049799,"Draba aizoides L.","Draba aizoides",1016,"C","p",4,8,5,"s","so","g3, h","SC","se, in","se, zo","XF","AB","T3, T5","Intermediate"
"Draba dubia Suter",3049974,"Draba dubia Suter","Draba dubia",1017,"C","p",5,7,3,"s","so","h","SC","se, in","se, zo","AFXF","AB","T5","Intermediate"
"Draba fladnizensis Wulfen",3049571,"Draba fladnizensis Wulfen","Draba fladnizensis",1018,"C, H","p",6,8,3,"s","so","h","SC","se","se","AF","AB","T3","No"
"Draba muralis L.",3049836,"Draba muralis L.","Draba muralis",1019,"T","a",5,6,2,"s","so","h","SC","se","se","AO","AB","T10, T5, T6, T8","No"
"Draba nemorosa L.",3049685,"Draba nemorosa L.","Draba nemorosa",1020,"T","a",5,6,2,"s","so","h","SC","se, in","se, zo",NA,"AB","T6",NA
"Draba sauteri Hoppe",3050144,"Draba sauteri Hoppe","Draba sauteri",1021,"C","p",6,7,2,"s","so","h","SC","se, in","se, zo",NA,"AB","T5",NA
"Draba siliquosa M.Bieb.",3049820,"Draba siliquosa M. Bieb.","Draba siliquosa",1022,"C","p",5,7,3,"s","so","h","SC","se, in","se, zo",NA,"AB","T3",NA
"Draba tomentosa Clairv.",3049449,"Draba tomentosa Clairv.","Draba tomentosa",1023,"C","p",6,8,3,"s","so","h","SC","se, in","se, zo","AF","AB","T5","Intermediate"
"Dracocephalum ruyschiana L.",3901967,"Dracocephalum ruyschiana L.","Dracocephalum ruyschiana",1024,"C","p",7,8,2,"sv","gd","a2","SC","in","zo","XF","Hh","T1","Intermediate"
"Drosera intermedia Hayne",3191157,"Drosera intermedia Hayne","Drosera intermedia",1025,"H","p",7,8,2,"sv","so","h","SC","se, kl, in","se, se, zo","AO","AB","S1","Intermediate"
"Drosera anglica Huds.",3190932,"Drosera longifolia L.","Drosera anglica",1026,"H","p",7,8,2,"sv","so","h","SC","wi, se, pk, kl, in","ab, se, se, se, zo","AO","AB","S1","Intermediate"
"Drosera rotundifolia L.",3191030,"Drosera rotundifolia L.","Drosera rotundifolia",1027,"H","p",7,8,2,"sv","so","h","SC","se, kl, in","se, se, zo","AO","AB","L2, S1","Intermediate"
"Drosera obovata Mert. & Koch",3190848,"Drosera x obovata Mert. & W. D. J. Koch ","Drosera obovata",1028,"H","p",7,8,2,"v","so","h","SC, I","pk","se","X","AB","S1","No"
"Dryas octopetala L.",4889932,"Dryas octopetala L.","Dryas octopetala",1029,"S","p",6,8,3,"sv","so, gm, gd, am, ad","g1, h","I","in","zo","X","B","T3","Intermediate"
"Dryopteris affinis (Lowe) Fraser-Jenk.",8915858,"Dryopteris affinis (Lowe) Fraser-Jenk.","Dryopteris affinis",1030,"H","p",7,9,3,"sv","so",NA,NA,NA,NA,NA,NA,"T1",NA
"Dryopteris carthusiana (Vill.) H.P.Fuchs",5275149,"Dryopteris carthusiana (Vill.) H. P. Fuchs","Dryopteris carthusiana",1031,"H","p",7,8,2,"sv","so",NA,NA,NA,NA,NA,NA,"L5, T1, T2",NA
"Dryopteris cristata (L) A.Gray",5275110,"Dryopteris cristata (L.) A. Gray","Dryopteris cristata",1032,"H","p",7,9,3,"sv","so",NA,NA,NA,NA,NA,NA,"S2",NA
"Dryopteris dilatata A.Gray",5275103,"Dryopteris dilatata (Hoffm.) A. Gray","Dryopteris dilatata",1033,"H","p",7,9,3,"sv","so",NA,NA,NA,NA,NA,NA,"T1, T3",NA
"Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy",5275102,"Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy","Dryopteris expansa",1034,"H","p",7,9,3,"sv","so",NA,"SC",NA,NA,"AFXF",NA,"T1",NA
"Dryopteris filix-mas (L.) Schott.",5275132,"Dryopteris filix-mas (L.) Schott","Dryopteris filix",1035,"H","p",7,9,3,"sv","so",NA,"SC",NA,NA,"I",NA,"T1, T3, T5",NA
"Dryopteris oreades Fomin",5653297,"Dryopteris oreades Fomin","Dryopteris oreades",1036,"H","p",7,9,3,"sv","so",NA,NA,NA,NA,NA,NA,"T5",NA
"Dryopteris remota (Döll) Druce",7904069,"Dryopteris remota (A. Braun ex Döll) Druce","Dryopteris remota",1037,"H","p",7,8,2,"s","so",NA,NA,NA,NA,NA,NA,"T1",NA
"Dryopteris villarii (Bell) Woynar ex Schinz & Thell.",7319100,"Dryopteris villarii (Bellardi) Woyn. ex Schinz & Thell. s. str.","Dryopteris villarii",1038,"H","p",7,8,2,"s","so",NA,NA,NA,NA,NA,NA,"T5",NA
"Dryopteris deweveri (Jansen) Jansen & Wachter",5653998,"Dryopteris x deweveri (Jansen) Jansen & Wacht. ","Dryopteris deweveri",1039,"H","p",NA,NA,NA,"sv","so",NA,NA,NA,NA,NA,NA,"T1",NA
"Dryopteris sarvelae Fraser-Jenk. & Jermy",8418908,"Dryopteris x sarvelae Fraser-Jenk. & Jermy ","Dryopteris sarvelae",1040,"H","p",NA,NA,NA,"sv","so",NA,NA,NA,NA,NA,NA,"T1",NA
"Potentilla indica (Andrews) T.Wolf",8591421,"Duchesnea indica (Andrews) Focke","Potentilla indica",1041,"H","p",5,10,6,"vvs","so",NA,NA,"se, in","se, zo",NA,"AB","T8",NA
