"SciName","species","bioflor_id","LifeForm","LifeSpan","FlStart","FlEnd","FlDur","ReprType","Dicliny","Dichogamy","SelfComp","PollVec","PollVecGrp","BreedSys","FlowClass","Habitat","PollDep","AccName","GbifKey"
"Abies alba Mill.","Abies alba",0,"M","p",5,6,2,"s","mo",NA,"SI","wi","ab","X","W","T1.1.1.5","No","Abies alba Mill.","2685484"
"Abutilon theophrasti Medik.","Abutilon theophrasti",1,"T","a",8,10,3,"s","so","a1","SC","se","se","AO","Po","T8.3.1","No","Abutilon theophrasti Medik.","3152614"
"Acer campestre L.","Acer campestre",2,"M, N","p",5,6,2,"ssv","mo",NA,NA,"in","zo","AF","A","L5.2.3, T1.1.1.4, T1.1.2.1, T1.1.2.3, T1.1.2.4.1",NA,"Acer campestre L.","3189863"
"Acer monspessulanum L.","Acer monspessulanum",3,"M, N","p",4,5,2,"s",NA,NA,NA,"in","zo",NA,"A","T1.1.2.4.1",NA,"Acer monspessulanum L.","7262958"
"Acer negundo L.","Acer negundo",4,"M","p",4,4,1,"sv","do",NA,NA,"wi","ab","X","A","L5.2.3, T1.3, T10.1.1","No","Acer negundo L.","3189866"
"Acer opalus Mill.","Acer opalus",5,"M","p",3,4,2,"s",NA,NA,NA,"in","zo",NA,"A","T1.1.2.1, T1.1.2.3",NA,"Acer opalus Mill.","7100278"
"Acer platanoides L.","Acer platanoides",6,"M","p",4,5,2,"s","mo","g2, a2","SI","in","zo","X","A","T1.1.1, T1.1.2.1","Yes","Acer platanoides L.","3189846"
"Acer pseudoplatanus L.","Acer pseudoplatanus",7,"M","p",5,5,1,"s","am","a3",NA,"in","zo","AF","A","L5.2.3, T1.1.1, T1.1.2.1","Yes","Acer pseudoplatanus L.","3189870"
"Aceras anthropophorum (L.) W. T. Aiton","Orchis anthropophora",8,"G","p",5,6,2,"s","so",NA,"SC","se, in","se, zo","XF","B","T6.2.2.2.3",NA,"Orchis anthropophora All.","2849624"
"Achillea atrata L.","Achillea atrata",9,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X","B",NA,"Yes","Achillea atrata L.","3120203"
"Achillea clavennae L.","Achillea clavennae",10,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X","B","T3.4.2.1, T5.1.2.2.1","Yes","Achillea clavennae L.","3120117"
"Achillea collina Becker ex Rchb.","Achillea collina",11,"H","p",6,11,6,"sv","gm","a2","SI","in","zo","X","B","T6.2.2.2.3","Yes","Achillea collina Becker ex Rchb.","7925124"
"Achillea crithmifolia Waldst. & Kit.","Achillea crithmifolia",12,"H","p",5,10,6,"sv","gm","a2","SI","in","zo","X","B","T10.3.1.2, T8.2.2.6","Yes","Achillea crithmifolia Waldst. & Kit.","8059665"
"Achillea macrophylla L.","Achillea macrophylla",13,"H","p",7,9,3,"sv","gm","a2","SI","se, in","se, zo","X","B",NA,"Intermediate","Achillea macrophylla L.","3118536"
"Achillea millefolium L.","Achillea millefolium",14,"H","p",6,10,5,"sv","gm, gd","a2","SI","in","zo","X","B","T10.4, T6.2.1.4, T6.2.2.2.3, T7.1.2, T7.1.3, T7.2, T7.2.2, T7.3, T8.2.2, T8.3, T9.2, T9.5","Yes","Achillea millefolium L.","3120060"
"Achillea nobilis L.","Achillea nobilis",15,"H","p",6,10,5,"sv","gm","a2","SI","in","zo","X","B","T6.1.2.3, T7.5.2.1","Yes","Achillea nobilis L.","3120024"
"Achillea pannonica Scheele","Achillea pannonica",16,"H","p",6,8,3,"sv","gm","a2","SI","in","zo","X","B","T6.1.2.3, T6.2.2","Yes","Achillea pannonica Scheele","3120129"
"Achillea pratensis Saukel & R. Länger","Achillea pratensis",17,"H","p",5,11,7,"sv","gm","a2","SI","in","zo","X","B","T6.2, T7.1.2, T7.2, T7.3","Yes","Achillea pratensis J.Saukel & R.Länger","3120104"
"Achillea ptarmica L.","Achillea ptarmica",18,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X",NA,"L4.1.4, L4.4","Yes","Achillea ptarmica L.","3120333"
"Achillea roseoalba Ehrend.","Achillea roseo",19,"H","p",5,10,6,"sv","gm","a2","SI","in","zo","X","B","T7.1.2","Yes","Achillea roseo-alba Ehrend.","3120385"
"Achillea salicifolia Besser","Achillea salicifolia",20,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X","B","L5.2.5.4","Yes","Achillea salicifolia Bess.","3120376"
"Achillea setacea Waldst. & Kit.","Achillea setacea",21,"H","p",5,6,2,"sv","gm","a2","SI","in","zo","X","B","T6.2.2.2","Yes","Achillea setacea Waldst. & Kit.","3120066"
"Achnatherum calamagrostis (L.) P. Beauv.","Achnatherum calamagrostis",22,"H","p",6,9,4,"sv","so",NA,NA,"wi","ab",NA,"W","L5.1.1, T3.4.2, T5.1.2.1, T5.2.2.1",NA,"Achnatherum calamagrostis P.Beauv.","4142326"
"Acinos alpinus (L.) Moench","Clinopodium alpinum",23,"H, S","p",7,9,3,"s","so, gd","h, a2","SC","se, in","se, zo","AFXF","H","L5.1.1, T1.4.1.3, T3.4.2","Intermediate","Clinopodium alpinum Kuntze","7307319"
"Acinos arvensis (Lam.) Dandy","Clinopodium acinos",24,"H, T","a, b, h, p",6,9,4,"s","gd","a2","SC","in","zo","XF","H","T10.2.2.2, T5.2.3, T6.2, T6.2.1.4.1","Intermediate","Clinopodium acinos Kuntze","2927118"
"Aconitum napellus L.","Aconitum napellus",25,"H","p",6,8,3,"s","so","a2",NA,"se, in","se, zo",NA,"Hh","L5.1.2, L5.2.3, L5.2.5.4, T3.1.1, T3.1.2",NA,"Aconitum napellus L.","3033665"
"Aconitum degenii (Arcang.) Mucher","Aconitum degenii",26,"H","p",7,9,3,"s","so","a2",NA,"in","zo",NA,"Hh","L5.1.3, T3.1",NA,"Aconitum degenii Gayer","8295887"
"Aconitum pilipes (Rchb.) Gáyer","Aconitum pilipes",27,"H","p",7,9,3,"s","so","a2",NA,"in","zo",NA,"Hh","T3.1",NA,"Aconitum pilipes (Rchb.) Gáyer","7730898"
"Aconitum plicatum Köhler ex Rchb.","Aconitum plicatum",28,"H","p",8,10,3,"s","so",NA,NA,"in","zo",NA,"Hh","L5.1",NA,"Aconitum plicatum Koehler ex Rchb.","7276774"
"Aconitum tauricum Wulfen","Aconitum tauricum",29,"H","p",8,10,3,"s","so",NA,NA,"in","zo",NA,"Hh","T3.1.2",NA,"Aconitum tauricum Wulfen","7278285"
"Aconitum variegatum L.","Aconitum variegatum",30,"H","p",7,9,3,"s","so","a2",NA,"in","zo",NA,"Hh","L5.1.3, T1.1.1, T2.1.2.1, T3.1.1",NA,"Aconitum variegatum L.","8090449"
"Aconitum lycoctonum (Rchb. ex Spreng.) Nyman",NA,31,"H","p",6,8,3,"sv","so","a2","C, I","se, in","se, zo","AFXF","Hh","L5.1.3, L5.2.3, T1.1.1, T1.1.1.2, T1.1.1.3, T1.1.1.6, T1.1.2.1, T2.1, T2.4, T3.1, T3.1.1","Intermediate",NA,NA
"Aconitum x austriacum Mucher ","Aconitum austriacum",32,"H","p",NA,NA,NA,"s","so","a2",NA,"in","zo",NA,"Hh",NA,NA,"Aconitum austriacum W.Mucher","7496301"
"Aconitum x hebegynum DC. ","Aconitum degenii",33,"H","p",NA,NA,NA,"s","so","a2",NA,"in","zo",NA,"Hh",NA,NA,"Aconitum degenii Gayer","8295887"
"Aconitum x pilosiusculum (Ser.) Gáyer ","Aconitum degenii",34,"H","p",NA,NA,NA,"s","so","a2",NA,"in","zo",NA,"Hh","T3.1",NA,"Aconitum degenii x pilipes","10019139"
"Aconogonon polystachyum (Wall. ex Meisn.) Small","Koenigia polystachya",35,"G","p",9,10,2,"v",NA,NA,NA,NA,NA,NA,"B","T8.2.1.1",NA,"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal","8848208"
"Acorus calamus L.","Acorus calamus",36,"G","p",6,7,2,"v","so","g3",NA,NA,NA,NA,"A","L3.1, L3.2, L3.9.5",NA,"Acorus calamus L.","2873769"
"Acroptilon repens (L.) DC.","Rhaponticum repens",37,"G","p",7,9,3,"vvs","so","a2","SI","in","zo","X","B","T10.3.1","Yes","Rhaponticum repens (L.) Hidalgo","3142208"
"Actaea spicata L.","Actaea spicata",38,"H","p",5,6,2,"sv","so","g2","SC","se, in","se, zo","AFXF","Po","T1.1.1.3, T1.1.1.5, T1.1.2.1, T1.4.2","Intermediate","Actaea spicata L.","5371473"
"Adenophora liliifolia (L.) DC.","Adenophora liliifolia",39,"H","p",7,9,3,"s","so","a3",NA,"se, in","se, zo",NA,"B","L5.2.3, T1.1.2.4",NA,"Adenophora liliifolia (L.) A.DC.","5409500"
"Adenostyles alliariae (Gouan) A. Kern.","Adenostyles alliariae",40,"H","p",7,8,2,"sv","so","a2",NA,"se, in","se, zo",NA,"B","T1.1.1.6, T1.4.3.2",NA,"Adenostyles alliariae Kern.","3133702"
"Adenostyles glabra (Mill.) DC.","Adenostyles alpina",41,"H","p",7,8,2,"sv","so",NA,NA,"se, in","se, zo",NA,"B","T1.1.1",NA,"Adenostyles alpina (L.) Bluff & Fingerh.","3133705"
"Adonis aestivalis L.","Adonis aestivalis",42,"H, T","a",5,7,3,"s","so","g1",NA,"se, in","se, zo",NA,"Po","T9.1.2.2",NA,"Adonis aestivalis L.","5371707"
"Adonis annua L.","Adonis annua",43,"H, T","a",6,9,4,"s","so",NA,NA,"se, in","se, zo",NA,"Po",NA,NA,"Adonis annua L.","5371709"
"Adonis flammea Jacq.","Adonis flammea",44,"H, T","a",5,7,3,"s","so",NA,NA,"se, in","se, zo",NA,"Po","T9.1.2.2",NA,"Adonis flammea Jacq.","8246651"
"Adonis vernalis L.","Adonis vernalis",45,"H","p",4,5,2,"sv","so","g1","SI","se, in","se, zo","X","Po","T6.2","Intermediate","Adonis vernalis L.","5371711"
"Adoxa moschatellina L.","Adoxa moschatellina",46,"G","p",3,5,3,"vvs","so","g1, h, a1","I","se, in, sn","se, zo, zo","X","A","T1.1.1, T1.3","Intermediate","Adoxa moschatellina L.","2888794"
"Aegopodium podagraria L.","Aegopodium podagraria",47,"H","p",6,7,2,"vvs","am","a1","SC","in","zo","XF","A","L5.2.3, L5.2.5, T1.1.1","Intermediate","Aegopodium podagraria L.","3034620"
"Aesculus hippocastanum L.","Aesculus hippocastanum",48,"M","p",5,6,2,"s","tm","g2","SC","in","zo","XF","B","T1.4","Intermediate","Aesculus hippocastanum L.","3189815"
"Aethionema saxatile (L.) R. Br.","Aethionema saxatile",49,"C","b, h, p",4,6,3,"s","so","g1, h","SC","se, in","se, zo","AF","AB","L5.1.1","Intermediate","Aethionema saxatile (L.) R.Br.","7870683"
"Aethusa cynapium L.","Aethusa cynapium",50,"H, T","a",6,9,4,"s","so, am","g1, h, a1","SC","se, in","se, zo","AF","A","T10.7, T9.1.2.1, T9.1.2.2, T9.2, T9.3.2.1","Intermediate","Aethusa cynapium L.","5371825"
"Agrimonia eupatoria L.","Agrimonia eupatoria",51,"H","p",6,9,4,"s","so","h","SC","se, in","se, zo","AF","Po","T2.1.2.1, T6.2.2.3, T6.2.2.3.1","Intermediate","Agrimonia eupatoria L.","3001956"
"Agrimonia procera Wallr.","Agrimonia procera",52,"H","p",6,8,3,"sv","so",NA,"SC","se, in","se, zo","AF","Po","T2.1.2.1, T8.1.2.2, T8.2",NA,"Agrimonia procera Wallr.","3002121"
"Agrostemma githago L.","Agrostemma githago",53,"H, T","a",6,7,2,"s","so, gm, gd","h, a1, a2","SC","se, in","se, zo","AFXF","Ft","T9.1.2.2","Intermediate","Agrostemma githago L.","3085368"
"Agrostis agrostiflora (Beck) Rauschert","Agrostis agrostiflora",54,"H","p",7,8,2,"sv","so",NA,"SI","wi","ab","X","W","T3.1.1, T3.1.6, T3.4.2.2","No","Agrostis agrostiflora (Beck) Janch. & H.Neumayer","4127117"
"Agrostis alpina Scop.","Agrostis alpina",55,"H","p",7,9,3,"sv","so",NA,"SI","wi","ab","X","W","T3.4.1","No","Agrostis alpina Scop.","4126789"
"Agrostis canina L.","Agrostis canina",56,"H","p",6,8,3,"sv","so",NA,"I, SI","wi","ab","X","W","L4.4, S1.1, S1.5, S2.2.1","No","Agrostis canina L.","2706465"
"Agrostis capillaris L.","Agrostis capillaris",57,"H","p",6,7,2,"sv","so",NA,"I, SI","wi","ab","X","W","S2.3, T2.2.1, T4, T6.2.1.4, T7.1.2","No","Agrostis capillaris L.","2706490"
"Agrostis castellana Boiss. & Reut.","Agrostis castellana",58,"H","p",6,7,2,"sv","so",NA,"SI","wi","ab","X","W","T8.2.2, T8.3, T9.5.1","No","Agrostis castellana Boiss. & Reut.","2706501"
"Agrostis gigantea Roth","Agrostis gigantea",59,"G, H","p",6,7,2,"sv","so",NA,"I, SI","wi","ab","X","W","L3.1, L3.9.5, L4.1, L4.2, L4.3, L4.4, T7.3.2, T7.3.5","No","Agrostis gigantea Roth","2706541"
"Agrostis rupestris All.","Agrostis rupestris",60,"H","p",7,8,2,"s","so",NA,"SI","wi","ab","X","W","T1.1.1.4, T3.4.1","No","Agrostis rupestris All.","2706525"
"Agrostis scabra Willd.","Agrostis scabra",61,"H, T","a, p",6,7,2,"s","so",NA,"SI","wi","ab","X","W","L3.9.7.3, T7.4.1","No","Agrostis scabra Willd.","2706444"
"Agrostis schleicheri Jord. & Verl.","Agrostis schleicheri",62,"H","p",7,9,3,"sv","so",NA,"SI","wi","ab","X","W","T3.4.2.2","No","Agrostis schleicheri Jord. & Verlot","4116935"
"Agrostis stolonifera L.","Agrostis stolonifera",63,"H","p",6,7,2,"sv","so",NA,"I, SI","wi","ab","X","W","H1.1.3, H1.1.3.2, H1.2.2.3, H2, H2.2.3.4, T10.3.3.1, T7.4.1, T7.4.2, T9.1, T9.2","No","Agrostis stolonifera L.","2706435"
"Agrostis vinealis Schreb.","Agrostis vinealis",64,"H","p",6,9,4,"sv","so",NA,"SI","wi","ab","X","W","T4, T5.2.3","No","Agrostis vinealis Schreb.","2706458"
"Agrostis x murbeckii Fouill. ex P. Fourn. ","Agrostis murbeckii",65,"H","p",NA,NA,NA,"sv","so",NA,"SI","wi","ab","X","W",NA,"No","Agrostis murbeckii Fouill.","4119622"
"Ailanthus altissima (Mill.) Swingle","Ailanthus altissima",66,"M","p",7,7,1,"sv","so, mo, do",NA,NA,"in","zo","X","A","T10.3.1, T10.3.4, T10.4.3, T2.4",NA,"Ailanthus altissima (Mill.) Swingle","3190653"
"Aira caryophyllea L. s. str.","Aira caryophyllea",67,"H, T","a",6,7,2,"s","so",NA,"SC","se","se","AO","W","T10.3.3.1.1, T10.3.3.4.2, T5.2.3","No","Aira caryophyllea L.","7747216"
"Aira elegantissima Schur","Aira elegans",68,"T","a",5,8,4,"s","so",NA,NA,"wi","ab",NA,"W",NA,NA,"Aira elegans Willd. ex Roem. & Schult.","7948459"
"Aira praecox L.","Aira praecox",69,"H, T","a",5,6,2,"s","so",NA,NA,"wi","ab",NA,"W","T10.3.3.1.1, T6.2.1.4.5",NA,"Aira praecox L.","5289582"
"Ajuga chamaepitys (L.) Schreb.","Ajuga chamaepitys",70,"H, T","a",5,9,5,"s","so",NA,"SC","se, in","se, zo","XF","Hh","T6.2.2.4.6, T9.1.2.1, T9.1.2.2",NA,"Ajuga chamaepitys (L.) Schreb.","2927080"
"Ajuga genevensis L.","Ajuga genevensis",71,"H","p",4,6,3,"ssv","so","a2","SC","se, in","se, zo","XF","Hh","T6.2, T6.2.2.2.3, T7.5.2.1","Intermediate","Ajuga genevensis L.","2927079"
"Ajuga pyramidalis L.","Ajuga pyramidalis",72,"H","p",5,8,4,"ssv","gm","h, a1","SC","se, in","se, zo","AFXF","Hh","T6.2.1.5","Intermediate","Ajuga pyramidalis L.","8429926"
"Ajuga reptans L.","Ajuga reptans",73,"H","p",5,8,4,"sv","so","h","SC, C","se, in","se, zo","AFXF","Hh","T1.1.1","Intermediate","Ajuga reptans L.","2927078"
"Alcea rosea L.","Alcea rosea",74,"H","b, p",6,10,5,"s","so","a3","SC","se, in","se, zo","AFXF","B","T10.3.3.1, T8.2.2.5, T8.2.2.6, T9.5.4","Intermediate","Alcea rosea L.","5406789"
"Alchemilla alpigena Buser","Alchemilla plicatula",75,"S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.3.2, T3.4.2.1, T3.4.2.2, T3.4.3, T5.1.2.2",NA,"Alchemilla plicatula Gand.","3027974"
"Alchemilla alpina L.","Alchemilla alpina",76,"S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","H, T3.1.5, T3.2.1, T3.3.1",NA,"Alchemilla alpina L.","3027648"
"Alchemilla cleistophylla Rothm. & O. Schwarz","Alchemilla connivens",77,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.4.2.2",NA,"Alchemilla connivens Buser","3028082"
"Alchemilla colorata Buser","Alchemilla colorata",78,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.4, T3.2.1, T3.2.3, T3.4.1, T3.4.2.1",NA,"Alchemilla colorata Buser","3027495"
"Alchemilla conjuncta Bab.","Alchemilla conjuncta",79,"S","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA,"Alchemilla conjuncta Bab.","3028431"
"Alchemilla connivens Buser","Alchemilla connivens",80,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.1, T3.1.2, T3.1.3, T3.4.2.2, T3.4.3",NA,"Alchemilla connivens Buser","3028082"
"Alchemilla coriacea Buser","Alchemilla coriacea",81,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3.1.1, L2.3.2, L2.5, S2.2.1, S2.2.2.2, T3.1.1, T7.1.2",NA,"Alchemilla coriacea Buser","3028252"
"Alchemilla crinita Buser","Alchemilla crinita",82,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.2, T3.4.1, T3.4.2, T3.4.3, T6.2.2.4, T7.1.3, T7.2.1, T7.2.2",NA,"Alchemilla crinita Buser","3028699"
"Alchemilla cuspidens Buser","Alchemilla cuspidens",83,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.4, T3.1.5, T3.2.1",NA,"Alchemilla cuspidens Buser","3028127"
"Alchemilla cymatophylla Juz.","Alchemilla cymatophylla",84,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","S2.2.1, T7.1.3",NA,"Alchemilla cymatophylla Juz.","3027997"
"Alchemilla decumbens Buser","Alchemilla decumbens",85,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3.1.2, L2.5, T3.1.1, T3.3",NA,"Alchemilla decumbens Buser","3028988"
"Alchemilla effusa Buser","Alchemilla effusa",86,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3.1.1, L2.3.1.2, L2.3.2, T3.1.1, T3.1.2, T3.4.2, T3.4.3, T7.1.3, T7.2.1",NA,"Alchemilla effusa Buser","3028884"
"Alchemilla exigua Buser ex Paulin","Alchemilla exigua",87,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA,"Alchemilla exigua Buser ex Paulin","3028463"
"Alchemilla fallax Buser","Alchemilla fallax",88,"H, S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.4.2.1",NA,"Alchemilla fallax Buser ex M.Besse","8218176"
"Alchemilla filicaulis Buser","Alchemilla filicaulis",89,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T1.3, T7.1.2, T7.1.3, T7.3.2, T7.3.5, T9.2.2, T9.2.6, T9.5.1",NA,"Alchemilla filicaulis Buser","3027485"
"Alchemilla firma Buser","Alchemilla firma",90,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA,"Alchemilla firma Buser","3028479"
"Alchemilla fissa Günther & Schummel","Alchemilla fissa",91,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3.2, L2.5, T3.1.1, T3.1.2, T3.3.1, T3.4.2.2, T5.2.2",NA,"Alchemilla fissa Günther & Schummel","3028424"
"Alchemilla flabellata Buser","Alchemilla flabellata",92,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.4, T3.2.1, T3.2.3, T3.4.1, T3.4.2.1",NA,"Alchemilla flabellata Buser","3027735"
"Alchemilla glabra Neygenf.","Alchemilla glabra",93,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3, L2.5, L4.1, T3.1.1, T3.1.2, T3.4.2.2, T3.4.3, T7.1, T7.2",NA,"Alchemilla glabra Neygenf.","3027640"
"Alchemilla glaucescens Wallr.","Alchemilla glaucescens",94,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T3.2.1, T3.4.1, T3.4.2.1, T4.3, T6.2.1, T6.2.2.2, T6.2.2.4",NA,"Alchemilla glaucescens Wallr.","3027452"
"Alchemilla glomerulans Buser","Alchemilla glomerulans",95,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3.2, T3.1.1, T3.1.2, T3.3.1, T3.3.2, T3.4.2, T3.4.3",NA,"Alchemilla glomerulans Buser","3028402"
"Alchemilla grossidens Buser","Alchemilla grossidens",96,"S","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD","T3.3.2",NA,"Alchemilla grossidens Buser","3028648"
"Alchemilla lunaria S. E. Fröhner","Alchemilla lunaria",97,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.4.2.2, T7.1.1",NA,"Alchemilla lunaria S.E.Fröhner","3027860"
"Alchemilla hoppeana (Rchb.) Dalla Torre","Alchemilla hoppeana",98,"S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.3.2, T3.4.2.2, T3.4.3, T5.1.2.2, T6.2.1",NA,"Alchemilla hoppeana Buser","7674121"
"Alchemilla impexa Buser","Alchemilla impexa",99,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.1, T3.1.2, T3.4.2.2, T5.1.2.2.2",NA,"Alchemilla impexa Buser","7560544"
"Alchemilla incisa Buser","Alchemilla incisa",100,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3.2, L2.5, L5.1.1, T3.1.1, T3.1.2, T3.3.2, T3.4.2.2",NA,"Alchemilla incisa Buser","3027518"
"Alchemilla inconcinna Buser","Alchemilla inconcinna",101,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA,"Alchemilla inconcinna Buser","3028706"
"Alchemilla kerneri Rothm.","Alchemilla kerneri",102,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA,"Alchemilla kerneri Rothm.","3027572"
"Alchemilla lineata Buser","Alchemilla lineata",103,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.1, T3.1.2, T3.4.2.2",NA,"Alchemilla lineata Buser","3027601"
"Alchemilla micans Buser","Alchemilla micans",104,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.2, T3.4.2.2, T7.1.2, T7.1.3, T7.3.2, T7.3.5, T7.4.1",NA,"Alchemilla micans Buser","3027791"
"Alchemilla mollis (Buser) Rothm.","Alchemilla mollis",105,"H, S","p",6,8,3,"sv","so","a2",NA,NA,NA,NA,"AD","L4.1, L5.1.2, T1.4.2, T3.3.1, T8.2.1",NA,"Alchemilla mollis (Buser) Rothm.","3028528"
"Alchemilla monticola Opiz","Alchemilla monticola",106,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T1",NA,"Alchemilla monticola Opiz","3028763"
"Alchemilla obscura Buser","Alchemilla obscura",107,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA,"Alchemilla obscura Buser","3028047"
"Alchemilla obtusa Buser","Alchemilla obtusa",108,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.1, T3.4.3",NA,"Alchemilla obtusa Buser","3028609"
"Alchemilla othmarii Buser","Alchemilla othmarii",109,"H","p",6,8,3,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.1, T3.1.2, T3.2.1, T3.4.2.2",NA,"Alchemilla othmarii Buser","3028506"
"Alchemilla pallens Buser","Alchemilla pallens",110,"S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.1, T3.3.2, T3.4.2.2, T3.4.3, T5.1.2.2",NA,"Alchemilla pallens Buser","3028986"
"Alchemilla plicata Buser","Alchemilla plicata",111,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.1, T3.1.2, T3.4.2.2, T3.4.3",NA,"Alchemilla plicata Buser","3027653"
"Alchemilla propinqua H. Lindb. ex Juz.","Alchemilla propinqua",112,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T7.1.1, T7.1.3",NA,"Alchemilla propinqua H.Lindb. ex Juz.","3027751"
"Alchemilla reniformis Buser","Alchemilla reniformis",113,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3.3, L2.5, L4.1, T3.1.1, T3.1.2, T6.2.2.5.4, T7.1.3",NA,"Alchemilla reniformis Buser","3028155"
"Alchemilla rubristipula Buser","Alchemilla rubristipula",114,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.4.2.2",NA,"Alchemilla rubristipula Buser","3028055"
"Alchemilla sinuata Buser","Alchemilla sinuata",115,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA,"Alchemilla sinuata Buser","3028061"
"Alchemilla splendens Christ ex Gremli",NA,116,"H, S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA,"Alchemilla ×splendens Christ ex Gremli","8235406"
"Alchemilla straminea Buser","Alchemilla straminea",117,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3.1.1, L2.3.2, L2.5, L4.1, S2.2.2.2, T3.1.1, T3.4.3",NA,"Alchemilla straminea Buser","3028171"
"Alchemilla strigosula Buser","Alchemilla strigosula",118,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T6.2.2.2.3, T6.2.2.4",NA,"Alchemilla strigosula Buser ex C.DC.","9630454"
"Alchemilla subcrenata Buser","Alchemilla subcrenata",119,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.1, T3.1.2, T3.4.2, T7.1.3, T7.2.1",NA,"Alchemilla subcrenata Buser","3028176"
"Alchemilla subglobosa C. G. Westerl.","Alchemilla subglobosa",120,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T6.2.2.3, T7.1.1, T7.1.3",NA,"Alchemilla subglobosa C.G.Westerl.","7350401"
"Alchemilla tenuis Buser","Alchemilla tenuis",121,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3.2, L2.5, T3.4.2.2, T3.4.3",NA,"Alchemilla tenuis Buser","3027730"
"Alchemilla tirolensis Buser ex Dalla Torre & Sarnth.","Alchemilla tirolensis",122,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3.1.2",NA,"Alchemilla tirolensis Buser ex Dalla Torre & Sarnth.","3027951"
"Alchemilla trunciloba Buser","Alchemilla trunciloba",123,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA,"Alchemilla trunciloba Buser","3027764"
"Alchemilla undulata Buser","Alchemilla undulata",124,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2.3.2, T3.1.1, T3.1.2, T3.4",NA,"Alchemilla undulata Buser","3028058"
