"SciName","species","bioflor_id","LifeForm","LifeSpan","FlStart","FlEnd","FlDur","ReprType","Dicliny","Dichogamy","SelfComp","PollVec","PollVecGrp","BreedSys","FlowClass","Habitat","PollDep","AccName","GbifKey"
"Rubus sprengeliusculus (Frid. & Gelert) H. E. Weber","Rubus sprengeliusculus",2956,"P","p",NA,NA,NA,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus sprengeliusculus (K.Frid. & Gelert) H.E.Weber","7778351"
"Rubus steracanthos P. J. Müll. ex Boulay","Rubus steracanthos",2957,"P","p",7,8,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus steracanthos P.J.Müll. ex Boulay","8027176"
"Rubus stormanicus H. E. Weber","Rubus stormanicus",2958,"P","p",NA,NA,NA,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus stormanicus H.E.Weber","2997084"
"Rubus subcordatus H. E. Weber","Rubus insolatus",2959,"P","p",7,8,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus insolatus P.J.Müll.","2998275"
"Rubus suevicola H. E. Weber","Rubus suevicola",2960,"P","p",5,6,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus suevicola H.E.Weber","2989616"
"Rubus sulcatus Vest","Rubus sulcatus",2961,"P","p",6,7,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.3.1",NA,"Rubus sulcatus Vest ex Tratt.","2997295"
"Rubus sylvulicola Progel ex Utsch","Rubus sylvulicola",2962,"P","p",NA,NA,NA,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.3",NA,"Rubus sylvulicola J.Utsch","2997282"
"Rubus tauni Schnedler & Großheim","Rubus tauni",2963,"P","p",6,7,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.3.2",NA,"Rubus tauni W.Schnedler & H.Grossh.","2988827"
"Rubus tereticaulis P. J. Müll.","Rubus tereticaulis",2964,"P","p",7,8,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.3",NA,"Rubus tereticaulis P.J.Müll.","2991290"
"Rubus thelybatos Focke ex Caflisch","Rubus thelybatos",2965,"P","p",7,8,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus thelybatos Focke","3855223"
"Rubus tiliaster H. E. Weber","Rubus tiliaster",2966,"P","p",6,7,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.1.2",NA,"Rubus tiliaster H.E.Weber","2999627"
"Rubus transvestitus Matzk.","Rubus transvestitus",2967,"P","p",NA,NA,NA,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.3",NA,"Rubus transvestitus Matzk.","9044998"
"Rubus tuberculatus Bab.","Rubus horrefactus",2968,"P","p",6,7,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.1.2",NA,"Rubus horrefactus P.J.Müll. & Lefevre","2997081"
"Rubus ubericus Matzk.","Rubus ubericus",2969,"P","p",NA,NA,NA,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus ubericus Matzk.","8903576"
"Rubus ulmifolius Schott","Rubus ulmifolius",2970,"P","p",6,7,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus ulmifolius Schott","2996929"
"Rubus vaniloquus A. Schumach. ex H. E. Weber","Rubus vaniloquus",2971,"P","p",5,6,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus vaniloquus A.Schumacher ex H.E.Weber","8362160"
"Rubus vestitus Weihe","Rubus vestitus",2972,"P","p",7,8,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2, T2.3.2",NA,"Rubus vestitus Weihe & Nees","8289268"
"Rubus vigorosus P. J. Müll. & Wirtg.","Rubus vigorosus",2973,"P","p",6,7,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.1.2",NA,"Rubus vigorosus P.J.Müll. & Wirtg.","2994312"
"Rubus villarsianus Focke ex Gremli","Rubus villarsianus",2974,"P","p",5,6,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1",NA,"Rubus villarsianus Focke ex Gremli","7572824"
"Rubus viscosus Weihe ex Lej. & Courtois","Rubus viscosus",2975,"P","p",7,8,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus viscosus Weihe ex Lej. & Court.","2995870"
"Rubus visurgianus H. E. Weber","Rubus scabrosus",2976,"P","p",5,6,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus scabrosus P.J.Müll.","8034940"
"Rubus vulgaris Weihe & Nees","Rubus commutatus",2977,"P","p",7,7,1,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.1.2",NA,"Rubus commutatus G.Braun","7398397"
"Rubus wahlbergii Arrh.","Rubus wahlbergii",2978,"P","p",5,6,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus wahlbergii Arrhen.","7674528"
"Rubus walsemannii H. E. Weber","Rubus walsemannii",2979,"P","p",5,6,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus walsemannii H.E.Weber","2999620"
"Rubus wessbergii A. Pedersen & Walsemann","Rubus wessbergii",2980,"P","p",NA,NA,NA,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus wessbergii A.Pedersen & Martensen","2999592"
"Rubus winteri (P. J. Müll. ex Focke) Foerster","Rubus winteri",2981,"P","p",7,8,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus winteri (P.J.Müll. ex Focke) Foerster","9293593"
"Rubus x pseudidaeus (Weihe) Lej. ","Rubus caesius",2982,"P","p",5,6,2,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2",NA,"Rubus caesius x idaeus","9982346"
"Rubus xiphophorus H. E. Weber","Rubus xiphophorus",2983,"P","p",NA,NA,NA,"sv","so",NA,"SC","se, in","se, zo","XF","B","T2.1.2.2",NA,"Rubus xiphophorus H.E.Weber","2988763"
"Rudbeckia hirta L.","Rudbeckia hirta",2984,"H, T","a, b",7,9,3,"s","so","a2","SI","in","zo","X","B","L3.1, L5.2.4, L5.2.5, T10.3.3.1, T8.2.2.5, T8.2.2.6","Yes","Rudbeckia hirta L.","3114225"
"Rudbeckia laciniata L.","Rudbeckia laciniata",2985,"H","p",7,8,2,"sv","so","a2",NA,"in","zo",NA,"B","L4.1",NA,"Rudbeckia laciniata L.","3114229"
"Rumex acetosa L.","Rumex acetosa",2986,"H","p",5,7,3,"sv","do",NA,NA,"wi","ab","X","Wb","T7.3","No","Rumex acetosa L.","2888951"
"Rumex acetosella L. s. l.","Rumex acetosella",2987,"G, H","p",5,7,3,"sv","do, gm",NA,NA,"wi","ab","X","Wb","T2.2.1, T5.1.1.4, T6.2.1.4, T6.2.1.5.4, T7.4.2, T9.1.1.2","No","Rumex acetosella L.","2888995"
"Rumex alpinus L. sensu sensu L. 1759 ","Rumex alpinus",2988,"H","p",6,8,3,"sv","so, gm, am","a2",NA,"wi","ab",NA,"Wb","T3.1.1",NA,"Rumex alpinus L.","2888948"
"Rumex aquaticus L.","Rumex aquaticus",2989,"H","p",7,8,2,"s","so",NA,NA,"wi","ab",NA,"Wb","L5.2.5.4, S2.1",NA,"Rumex aquaticus L.","2888992"
"Rumex arifolius All.","Rumex arifolius",2990,"H","p",6,8,3,"s","do",NA,NA,"wi","ab","X","Wb","T1.1.1.6, T3.4.2.2, T3.4.3, T7.1.3","No","Rumex arifolius All.","4036273"
"Rumex conglomeratus Murray","Rumex conglomeratus",2991,"H","p",7,8,2,"s","so, am","h","SC","wi, se","ab, se","AF","Wb","L4.4, L5.2.4.1, T2.2.2","Intermediate","Rumex conglomeratus Murray","2888963"
